,X.1,X,site.name,ID,PM2.5_2015,AQI_2015,N_2015,PM2.5_2016,AQI_2016,N_2016,PM2.5_2017,AQI_2017,N_2017,PM2.5_2018,AQI_2018,N_2018,PM2.5_2019,AQI_2019,N_2019,Season,interstate,distance_feet,distance_mi,name_pp,active_flag,fuel_type,PP_distance_feet,PP_distance_mi,med_income,PM2.5_2020,AQI_2020,N_2020,PM2.5_2021,AQI_2021,N_2021
1,1,1,Andersen School,Andersen School_Fall,7.761016949,31.8220339,118,6.757017544,27.85964912,114,7.071304348,28.73043478,115,7.691964286,29.9375,112,8.291596639,33.42857143,119,Fall,35W,2977.52,0.563924242,Hennepin County Energy Center,Y,Natural gas,6852.65657,1.298129059,26224,7.813274336,31.28318584,113,6.369072165,26.1443299,97
2,2,2,Andersen School,Andersen School_Spring,5.254166667,21.95833333,24,7.276666667,28.95555556,90,5.904123711,24.51546392,97,8.206185567,33.57731959,97,5.211842105,21.22368421,76,Spring,35W,2977.52,0.563924242,Hennepin County Energy Center,Y,Natural gas,6852.65657,1.298129059,26224,8.146391753,33.62886598,97,4.534453782,18.6302521,119
3,3,3,Andersen School,Andersen School_Summer,8.085714286,32.62857143,35,5.477483444,22.85430464,151,6.97615894,28.40397351,151,7.994630872,31.81208054,149,7.032692308,29.28846154,104,Summer,35W,2977.52,0.563924242,Hennepin County Energy Center,Y,Natural gas,6852.65657,1.298129059,26224,8.26446281,32.79338843,121,10.06280992,36.32231405,121
4,4,4,Andersen School,Andersen School_Winter,9.466666667,37.17948718,117,9.334453782,37.16806723,119,10.08974359,40.1965812,117,9.214529915,36.01709402,117,11.0826087,43.25,92,Winter,35W,2977.52,0.563924242,Hennepin County Energy Center,Y,Natural gas,6852.65657,1.298129059,26224,9.722608696,36.79130435,115,9.145,37.175,120
5,5,5,Andersen Windows North,Andersen Windows North_Fall,7.38045977,30.40229885,87,10.55744681,42.76595745,47,8.091011236,32.47191011,89,4.203370787,16.79775281,89,NA,NA,0,Fall,94,22704,4.3,Xcel Energy - Allen S King Generating Plant,Y,Coal,2064.804407,0.391145036,39688,NA,NA,NA,NA,NA,NA
6,6,6,Andersen Windows North,Andersen Windows North_Spring,6.101369863,25.39726027,73,5.592307692,23.38461538,13,8.508219178,34.84931507,73,9.547945205,39.10958904,73,4.953846154,20.53846154,13,Spring,94,22704,4.3,Xcel Energy - Allen S King Generating Plant,Y,Coal,2064.804407,0.391145036,39688,NA,NA,NA,NA,NA,NA
7,7,7,Andersen Windows North,Andersen Windows North_Summer,5.866037736,23.26415094,106,NA,NA,0,6.43490566,26.38679245,106,8.239047619,33.9047619,105,NA,NA,0,Summer,94,22704,4.3,Xcel Energy - Allen S King Generating Plant,Y,Coal,2064.804407,0.391145036,39688,NA,NA,NA,NA,NA,NA
8,8,8,Andersen Windows North,Andersen Windows North_Winter,8.938636364,34.94318182,88,12.30697674,47.77906977,86,12.8962963,49.56790123,81,7.049438202,27.88764045,89,NA,NA,0,Winter,94,22704,4.3,Xcel Energy - Allen S King Generating Plant,Y,Coal,2064.804407,0.391145036,39688,NA,NA,NA,NA,NA,NA
9,9,9,Andersen Windows South,Andersen Windows South_Fall,7.904123711,32.54639175,97,6.215789474,25.75438596,57,4.988541667,20.86458333,96,9.593684211,36.92631579,95,NA,NA,0,Fall,94,21542.4,4.08,Xcel Energy - Allen S King Generating Plant,Y,Coal,3032.024883,0.574369891,39688,NA,NA,NA,NA,NA,NA
10,10,10,Andersen Windows South,Andersen Windows South_Spring,6.036708861,25.20253165,79,4.531578947,18.94736842,19,4.12,17.09333333,75,5.465822785,22.86075949,79,9.485714286,39.07142857,14,Spring,94,21542.4,4.08,Xcel Energy - Allen S King Generating Plant,Y,Coal,3032.024883,0.574369891,39688,NA,NA,NA,NA,NA,NA
11,11,11,Andersen Windows South,Andersen Windows South_Summer,8.828099174,34.47107438,121,4.4375,18.5,8,3.85042735,16.56410256,117,5.503603604,22.38738739,111,NA,NA,0,Summer,94,21542.4,4.08,Xcel Energy - Allen S King Generating Plant,Y,Coal,3032.024883,0.574369891,39688,NA,NA,NA,NA,NA,NA
12,12,12,Andersen Windows South,Andersen Windows South_Winter,8.209473684,32.27368421,95,7.722340426,31.14893617,94,8.475675676,34.44594595,74,12.90425532,48.90425532,94,NA,NA,0,Winter,94,21542.4,4.08,Xcel Energy - Allen S King Generating Plant,Y,Coal,3032.024883,0.574369891,39688,NA,NA,NA,NA,NA,NA
13,13,13,Anoka County Airport,Anoka County Airport_Fall,5.785,24.075,120,6.44,26.68695652,115,8.155084746,32.94067797,118,6.988392857,27.4375,112,6.373913043,26.03478261,115,Fall,35W,8923.2,1.69,Xcel Energy - Riverside Generating Plant,Y,Natural gas,46383.37581,8.786608139,NA,7.165137615,29.11926606,109,5.584,23.18,100
14,14,14,Anoka County Airport,Anoka County Airport_Spring,4.326373626,18.2967033,91,6.680487805,26.45121951,82,5.744329897,23.81443299,97,7.802380952,32.08333333,84,5.660714286,23.1547619,84,Spring,35W,8923.2,1.69,Xcel Energy - Riverside Generating Plant,Y,Natural gas,46383.37581,8.786608139,NA,5.214851485,21.78217822,101,4.57,18.95833333,120
15,15,15,Anoka County Airport,Anoka County Airport_Summer,5.257638889,21.35416667,144,5.057333333,21.1,150,7.336363636,29.69230769,143,6.856643357,27.70629371,143,5.189333333,21.49333333,150,Summer,35W,8923.2,1.69,Xcel Energy - Riverside Generating Plant,Y,Natural gas,46383.37581,8.786608139,NA,5.09338843,20.78512397,121,10.39607843,37.24509804,102
16,16,16,Anoka County Airport,Anoka County Airport_Winter,8.1375,31.95535714,112,8.178813559,32.94915254,118,10.55128205,41.76068376,117,9.040517241,35.42241379,116,8.67816092,34.49425287,87,Winter,35W,8923.2,1.69,Xcel Energy - Riverside Generating Plant,Y,Natural gas,46383.37581,8.786608139,NA,9.464912281,36.36842105,114,7.996638655,32.70588235,119
17,17,17,Apple Valley,Apple Valley_Fall,7.183636364,29.7,110,6.708695652,27.72173913,115,5.999115044,24.67256637,113,6.413392857,25.13392857,112,7.422093023,29.69767442,86,Fall,35E,7814.4,1.48,Pine Bend Energy LLC,Y,Landfill Gas,49778.50346,9.429762193,31462,7.156976744,29.34883721,86,4.512222222,18.85555556,90
18,18,18,Apple Valley,Apple Valley_Spring,4.710309278,19.68041237,97,7.115384615,28.53846154,91,5.941052632,24.56842105,95,7.045263158,29.31578947,95,5.073469388,20.83673469,98,Spring,35E,7814.4,1.48,Pine Bend Energy LLC,Y,Landfill Gas,49778.50346,9.429762193,31462,6.585555556,27.42222222,90,4.042391304,16.64130435,92
19,19,19,Apple Valley,Apple Valley_Summer,5.400961538,21.68269231,104,5,20.89189189,148,6.889932886,27.99328859,149,7.124285714,28.87857143,140,4.9275,20.5,120,Summer,35E,7814.4,1.48,Pine Bend Energy LLC,Y,Landfill Gas,49778.50346,9.429762193,31462,7.531868132,30.03296703,91,8.8,31.75555556,90
20,20,20,Apple Valley,Apple Valley_Winter,9.208547009,36.32478632,117,8.801694915,35.46610169,118,9.094117647,36.92436975,119,9.499115044,37.44247788,113,10.1741573,40.5505618,89,Winter,35E,7814.4,1.48,Pine Bend Energy LLC,Y,Landfill Gas,49778.50346,9.429762193,31462,8.786363636,33.77272727,88,5.894186047,24.51162791,86
21,21,21,B.F. Pearson School,B.F. Pearson School_Fall,6.466666667,26.6,30,5.99,24.8,30,5.833333333,23.76666667,30,6.406410256,25.07692308,78,4.552222222,18.56666667,90,Fall,494,35006.4,6.63,Koda Energy LLC,Y,Biomass,7206.030495,1.365070245,29260,6.317857143,25.97619048,84,5.469318182,22.44318182,88
22,22,22,B.F. Pearson School,B.F. Pearson School_Spring,5.169565217,21.52173913,23,6.1,25.04166667,24,5.75,23.45833333,24,7.47,31,20,5.853030303,24.18181818,66,Spring,494,35006.4,6.63,Koda Energy LLC,Y,Biomass,7206.030495,1.365070245,29260,5.194565217,21.67391304,92,4.384705882,18.10588235,85
23,23,23,B.F. Pearson School,B.F. Pearson School_Summer,7.568421053,30.81578947,38,5.272972973,22.08108108,37,6.952631579,28.55263158,38,7.066666667,29.4,15,6.99,28.61818182,110,Summer,494,35006.4,6.63,Koda Energy LLC,Y,Biomass,7206.030495,1.365070245,29260,5.565217391,22.25,92,8.502531646,33.17721519,79
24,24,24,B.F. Pearson School,B.F. Pearson School_Winter,8.220689655,32.51724138,29,6.696428571,27.42857143,28,7.717241379,31.68965517,29,8.937078652,35.48314607,89,6.853932584,27.56179775,89,Winter,494,35006.4,6.63,Koda Energy LLC,Y,Biomass,7206.030495,1.365070245,29260,8.195555556,31.46666667,90,5.753333333,24.08888889,90
25,25,25,Ben Franklin School,Ben Franklin School_Fall,6.180909091,25.72727273,110,6.095652174,25.37391304,115,7.090384615,28.875,104,7.5125,29.44642857,112,5.773809524,23.5,84,Fall,90,28512,5.4,RPU - IBM Peaking Diesel Generators,Y,Diesel,27556.71662,5.220190775,32335,5.861111111,24.04444444,90,3.855555556,16.36666667,90
26,26,26,Ben Franklin School,Ben Franklin School_Spring,5.717525773,23.78350515,97,6.359090909,25.85227273,88,5.284269663,22.08988764,89,7.847311828,32.64516129,93,6.436458333,26.625,96,Spring,90,28512,5.4,RPU - IBM Peaking Diesel Generators,Y,Diesel,27556.71662,5.220190775,32335,5.385555556,22.15555556,90,3.565217391,14.81521739,92
27,27,27,Ben Franklin School,Ben Franklin School_Summer,6.946938776,28.08163265,147,4.415646259,18.45578231,147,6.142657343,25.18881119,143,7.886394558,31.83673469,147,6.27398374,25.83739837,123,Summer,90,28512,5.4,RPU - IBM Peaking Diesel Generators,Y,Diesel,27556.71662,5.220190775,32335,3.694680851,15.5,94,6.89,25.8875,80
28,28,28,Ben Franklin School,Ben Franklin School_Winter,8.477118644,33.73728814,118,8.945762712,36.00847458,118,10.52136752,41.95726496,117,10.69237288,41.53389831,118,8.317977528,33.28089888,89,Winter,90,28512,5.4,RPU - IBM Peaking Diesel Generators,Y,Diesel,27556.71662,5.220190775,32335,8.104444444,32.27777778,90,6.466666667,26.81111111,90
29,29,29,Blue Mounds,Blue Mounds_Fall,5.526666667,23.03333333,30,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,Fall,,NA,NA,Worthington Diesel Generating Plant,Y,Diesel,2389904.98,452.7302763,33831,NA,NA,NA,NA,NA,NA
30,30,30,Blue Mounds,Blue Mounds_Spring,6.145454545,25.45454545,22,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,Spring,,NA,NA,Worthington Diesel Generating Plant,Y,Diesel,2389904.98,452.7302763,33831,NA,NA,NA,NA,NA,NA
31,31,31,Blue Mounds,Blue Mounds_Summer,6.723684211,26.78947368,38,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,Summer,,NA,NA,Worthington Diesel Generating Plant,Y,Diesel,2389904.98,452.7302763,33831,NA,NA,NA,NA,NA,NA
32,32,32,Blue Mounds,Blue Mounds_Winter,5.933333333,25,3,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,Winter,,NA,NA,Worthington Diesel Generating Plant,Y,Diesel,2389904.98,452.7302763,33831,NA,NA,NA,NA,NA,NA
33,33,33,Bottineau / Marshall Terrace,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94,2634.17,0.498895833,Xcel Energy - Riverside Generating Plant,Y,Natural gas,2844.477073,0.53884188,38230,NA,NA,NA,NA,NA,NA
34,34,34,Boundary Waters,Boundary Waters_Fall,3.424545455,14.37272727,110,2.307964602,9.707964602,113,2.791891892,11.69369369,111,1.910619469,8.17699115,113,4.940909091,20.58181818,110,Fall,35,448800,85,Minnesota Power - Laskin Energy Center,Y,Coal,214715.9427,40.6745912,NA,4.069166667,17.075,120,3.631111111,15.64444444,90
35,35,35,Boundary Waters,Boundary Waters_Spring,4.3625,18.23958333,96,3.282653061,13.75510204,98,2.502061856,10.41237113,97,2.865591398,11.93548387,93,2.125806452,8.860215054,93,Spring,35,448800,85,Minnesota Power - Laskin Energy Center,Y,Coal,214715.9427,40.6745912,NA,4.685833333,19.55,120,2.221551724,9.663793103,116
36,36,36,Boundary Waters,Boundary Waters_Summer,6.48590604,25.59731544,149,2.789705882,11.68382353,136,4.026241135,16.75886525,141,5.428057554,21.27338129,139,4.953691275,20.15436242,149,Summer,35,448800,85,Minnesota Power - Laskin Energy Center,Y,Coal,214715.9427,40.6745912,NA,4.905882353,20.5210084,119,9.910309278,34.64948454,97
37,37,37,Boundary Waters,Boundary Waters_Winter,3.361206897,14.10344828,116,4.083636364,17.04545455,110,3.057983193,12.78151261,119,1.690740741,7.509259259,108,5.908695652,24.46956522,115,Winter,35,448800,85,Minnesota Power - Laskin Energy Center,Y,Coal,214715.9427,40.6745912,NA,2.265517241,9.767241379,116,5.094252874,21.26436782,87
38,38,38,Brainerd Lakes Regional Airport,Brainerd Lakes Regional Airport_Fall,5.057777778,21.08888889,90,4.812345679,20.0617284,81,4.92247191,20.49438202,89,3.953012048,15.95180723,83,3.355294118,14.03529412,85,Fall,94,292406.4,55.38,SMMPA Methane Energy Facility,Y,Landfill Gas,281549.3461,53.33513856,NA,3.824096386,15.96385542,83,3.744047619,15.60714286,84
39,39,39,Brainerd Lakes Regional Airport,Brainerd Lakes Regional Airport_Spring,5.792063492,24.03174603,63,5.293150685,21.95890411,73,4.080555556,16.95833333,72,5.287671233,22.08219178,73,3.363888889,14,72,Spring,94,292406.4,55.38,SMMPA Methane Energy Facility,Y,Landfill Gas,281549.3461,53.33513856,NA,4.283146067,17.88764045,89,4.726666667,17.77777778,90
40,40,40,Brainerd Lakes Regional Airport,Brainerd Lakes Regional Airport_Summer,6.107207207,23.51351351,111,6.677477477,27.83783784,111,6.081730769,24.75961538,104,6.866666667,27.21505376,93,4.322123894,17.78761062,113,Summer,94,292406.4,55.38,SMMPA Methane Energy Facility,Y,Landfill Gas,281549.3461,53.33513856,NA,3.568817204,14.94623656,93,13.99213483,40.88764045,89
41,41,41,Brainerd Lakes Regional Airport,Brainerd Lakes Regional Airport_Winter,6.65952381,26.85714286,84,5.978651685,24.40449438,89,5.868539326,24.49438202,89,5.297752809,21.19101124,89,5.831460674,23.5505618,89,Winter,94,292406.4,55.38,SMMPA Methane Energy Facility,Y,Landfill Gas,281549.3461,53.33513856,NA,5.023333333,20.48888889,90,5.46,22.76666667,90
42,42,42,Fond du Lac Band,Fond du Lac Band_Fall,5.264772727,22.02272727,88,4.125882353,17.23529412,85,3.731034483,15.63218391,87,3.203529412,13.28235294,85,2.451807229,10.36144578,83,Fall,35,15945.6,3.02,Duluth Steam Plant 1,Y,Coal,106858.3635,20.24265267,29324,2.068292683,9.865853659,82,1.196666667,5.955555556,90
43,43,43,Fond du Lac Band,Fond du Lac Band_Spring,NA,NA,0,6.154285714,24.5,70,3.852054795,16.01369863,73,3.991428571,16.54285714,70,2.34084507,9.774647887,71,Spring,35,15945.6,3.02,Duluth Steam Plant 1,Y,Coal,106858.3635,20.24265267,29324,1.13,5.866666667,90,2.349425287,10.2183908,87
44,44,44,Fond du Lac Band,Fond du Lac Band_Summer,7.958510638,31.5,94,4.164814815,17.43518519,108,5.276923077,21.73076923,104,6.379591837,25.43877551,98,4.138888889,17.07407407,108,Summer,35,15945.6,3.02,Duluth Steam Plant 1,Y,Coal,106858.3635,20.24265267,29324,0.493478261,4.52173913,92,8.511702128,30.0106383,94
45,45,45,Fond du Lac Band,Fond du Lac Band_Winter,6.826190476,27.88095238,84,5.007865169,20.51685393,89,4.586206897,19.03448276,87,3.333333333,13.79761905,84,1.624358974,7.551282051,78,Winter,35,15945.6,3.02,Duluth Steam Plant 1,Y,Coal,106858.3635,20.24265267,29324,2.945454545,12.48863636,88,1.85505618,8.02247191,89
46,46,46,FWS Wetland Management District,FWS Wetland Management District_Fall,4.085227273,17.06818182,88,2.514772727,10.80681818,88,5.252272727,21.86363636,88,4.651807229,18.93975904,83,4.045882353,16.91764706,85,Fall,94,152116.8,28.81,Otter Tail Power Co - Hoot Lake Plant,Y,Coal,211010.6663,39.97268429,38567,4.253333333,17.58888889,90,7.507058824,30.62352941,85
47,47,47,FWS Wetland Management District,FWS Wetland Management District_Spring,4.658461538,19.44615385,65,5.187671233,20.42465753,73,3.119178082,12.82191781,73,5.898630137,24.69863014,73,4.805479452,19.79452055,73,Spring,94,152116.8,28.81,Otter Tail Power Co - Hoot Lake Plant,Y,Coal,211010.6663,39.97268429,38567,4.697826087,19.54347826,92,10.08695652,41.52173913,92
48,48,48,FWS Wetland Management District,FWS Wetland Management District_Summer,5.419469027,20.87610619,113,2.446363636,10.20909091,110,6.321495327,25.36448598,107,6.07699115,23.9380531,113,4.557407407,19.00925926,108,Summer,94,152116.8,28.81,Otter Tail Power Co - Hoot Lake Plant,Y,Coal,211010.6663,39.97268429,38567,2.3,9.872340426,94,19.375,60.81818182,88
49,49,49,FWS Wetland Management District,FWS Wetland Management District_Winter,5.945783133,23.91566265,83,4.923529412,20.32941176,85,5.611235955,23.2247191,89,7.029213483,28.11235955,89,5.13258427,20.96629213,89,Winter,94,152116.8,28.81,Otter Tail Power Co - Hoot Lake Plant,Y,Coal,211010.6663,39.97268429,38567,11.79302326,46.36046512,86,4.913414634,20.57317073,82
50,50,50,Grand Portage Band,Grand Portage Band_Fall,5.232394366,21.78873239,71,4.041573034,16.91011236,89,3.964367816,16.50574713,87,4.331460674,18.02247191,89,2.351351351,9.837837838,74,Fall,35,740572.8,140.26,Pope/Douglas Solid Waste Management,Y,Refuse Derived Fuel,358975.4729,68.0023124,NA,2.719512195,11.40243902,82,0.91547619,4.69047619,84
